Objects
50
,,Global Angle Drone_2:Drone_2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.018373,-0.013058,0.133125,23.636238,4.235995,214.759323
2,0,-0.018425,-0.013102,0.133130,23.631800,4.243449,214.746857
3,0,-0.018449,-0.013134,0.133136,23.614506,4.240902,214.761703
4,0,-0.018522,-0.013232,0.133180,23.611382,4.238243,214.753677
5,0,-0.018417,-0.013176,0.133042,23.626354,4.239026,214.746155
6,0,-0.018422,-0.013110,0.133067,23.638119,4.234862,214.744186
7,0,-0.018430,-0.012995,0.133242,23.634945,4.236393,214.736084
8,0,-0.018639,-0.012526,0.133272,23.666641,4.277859,214.765167
9,0,-0.018685,-0.012507,0.133363,23.657007,4.273821,214.761871
10,0,-0.018601,-0.012418,0.133471,23.664562,4.273001,214.757980
11,0,-0.018571,-0.012379,0.133386,23.668070,4.272424,214.748810
12,0,-0.018579,-0.012303,0.133388,23.673414,4.262729,214.745377
13,0,-0.018488,-0.012245,0.133458,23.686306,4.260938,214.737625
14,0,-0.018504,-0.012224,0.133473,23.689152,4.259264,214.732590
15,0,-0.018488,-0.012510,0.133295,23.673431,4.267058,214.753143
16,0,-0.018555,-0.012242,0.133542,23.670073,4.257868,214.743439
17,0,-0.018575,-0.012512,0.133339,23.669020,4.260550,214.746460
18,0,-0.018534,-0.012503,0.133360,23.674789,4.242310,214.740906
19,0,-0.018495,-0.012776,0.133300,23.655415,4.265073,214.757523
20,0,-0.018436,-0.012784,0.133186,23.654297,4.248732,214.761322
21,0,-0.018543,-0.012684,0.133187,23.664017,4.242029,214.740891
22,0,-0.018413,-0.012791,0.133206,23.654205,4.228167,214.740448
23,0,-0.018473,-0.013058,0.133169,23.637701,4.252955,214.758011
24,0,-0.018409,-0.012943,0.133207,23.655754,4.228873,214.740204
25,0,-0.018396,-0.012826,0.133191,23.652365,4.227201,214.738831
26,0,-0.018369,-0.012983,0.133220,23.642891,4.234686,214.748764
27,0,-0.018437,-0.013045,0.133300,23.623499,4.249290,214.764618
