Objects
50
,,Global Angle Drone_2:Drone_2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.012516,-0.006602,0.118248,13.540760,-12.055249,214.311584
2,0,-0.020487,-0.008280,0.119886,13.641135,-12.515358,214.451736
3,0,-0.020366,-0.008071,0.119890,13.659923,-12.538573,214.476562
4,0,-0.020445,-0.008473,0.119711,13.646889,-12.516511,214.468033
5,0,-0.020391,-0.008343,0.119816,13.662066,-12.528858,214.491623
6,0,-0.020554,-0.008423,0.119845,13.654538,-12.562305,214.483963
7,0,-0.020730,-0.008495,0.120025,13.652995,-12.565753,214.476044
8,0,-0.020912,-0.008459,0.120079,13.655751,-12.560272,214.450592
9,0,-0.021025,-0.008442,0.120068,13.667562,-12.552956,214.496017
10,0,-0.021044,-0.008491,0.120119,13.686057,-12.578613,214.505997
11,0,-0.021262,-0.008537,0.120242,13.681135,-12.613675,214.493820
12,0,-0.021345,-0.008611,0.120365,13.688158,-12.598774,214.516525
13,0,-0.021657,-0.008686,0.120508,13.668801,-12.642274,214.519028
14,0,-0.021698,-0.008664,0.120615,13.685389,-12.654571,214.528625
15,0,-0.021794,-0.008682,0.120476,13.691653,-12.669795,214.538910
16,0,-0.021991,-0.008597,0.120665,13.692195,-12.641380,214.514984
17,0,-0.021943,-0.008586,0.120818,13.675155,-12.667235,214.523163
18,0,-0.021918,-0.008685,0.120736,13.693044,-12.671406,214.535187
19,0,-0.021853,-0.008665,0.120721,13.698257,-12.667512,214.553360
20,0,-0.022027,-0.008363,0.120855,13.695706,-12.650452,214.551025
21,0,-0.021954,-0.008745,0.120591,13.695902,-12.678070,214.546967
22,0,-0.021976,-0.008754,0.120715,13.687997,-12.668878,214.540955
23,0,-0.022010,-0.008689,0.120751,13.699205,-12.679478,214.543884
24,0,-0.022116,-0.008748,0.120772,13.688191,-12.667485,214.522675
25,0,-0.022052,-0.008757,0.120633,13.707450,-12.671897,214.542953
26,0,-0.022081,-0.008392,0.120892,13.706826,-12.674577,214.545609
27,0,-0.022086,-0.008589,0.120727,13.695675,-12.687561,214.535522
28,0,-0.021956,-0.008633,0.120846,13.684755,-12.684008,214.531448
29,0,-0.022042,-0.008546,0.120904,13.693144,-12.699278,214.528549
30,0,-0.022022,-0.008676,0.120774,13.700736,-12.675141,214.546921
31,0,-0.022165,-0.008636,0.120726,13.695142,-12.668424,214.516907
32,0,-0.021890,-0.008672,0.120796,13.688338,-12.688756,214.544647
33,0,-0.022127,-0.008777,0.120665,13.689824,-12.666404,214.537308
34,0,-0.022123,-0.008876,0.120536,13.698672,-12.660784,214.531662
35,0,-0.022008,-0.008814,0.120410,13.706593,-12.688912,214.535980
36,0,-0.021992,-0.008933,0.120457,13.692032,-12.695878,214.536575
37,0,-0.022063,-0.008917,0.120252,13.707058,-12.704200,214.528519
38,0,-0.022075,-0.009078,0.120223,13.688412,-12.694253,214.536346
39,0,-0.022357,-0.009261,0.120050,13.690370,-12.674482,214.501358
40,0,-0.022297,-0.009092,0.120017,13.700351,-12.687526,214.523087
41,0,-0.022269,-0.009212,0.119861,13.690622,-12.701539,214.515350
42,0,-0.022461,-0.009208,0.119976,13.688371,-12.654262,214.501877
43,0,-0.022298,-0.009160,0.120235,13.672734,-12.680106,214.511017
44,0,-0.022106,-0.009078,0.120064,13.695840,-12.702341,214.533173
45,0,-0.021877,-0.009127,0.120326,13.678319,-12.700876,214.551270
46,0,-0.022173,-0.008693,0.120519,13.678226,-12.641976,214.516312
47,0,-0.022060,-0.008481,0.120827,13.691797,-12.667106,214.527985
48,0,-0.021893,-0.008705,0.120761,13.689862,-12.660802,214.538605
49,0,-0.022017,-0.008710,0.120712,13.672253,-12.675076,214.530624
50,0,-0.022154,-0.008545,0.120744,13.694213,-12.649300,214.538025
51,0,-0.021961,-0.008681,0.120690,13.693978,-12.671184,214.523895
52,0,-0.022001,-0.008872,0.120529,13.676994,-12.666713,214.559128
53,0,-0.022401,-0.008920,0.120359,13.678747,-12.627242,214.481476
54,0,-0.022042,-0.008640,0.120696,13.679663,-12.677891,214.527313
55,0,-0.022224,-0.008568,0.121068,13.688180,-12.657021,214.553513
56,0,-0.021977,-0.008527,0.120842,13.703143,-12.657866,214.503662
57,0,-0.021957,-0.008598,0.120818,13.669180,-12.656462,214.555481
58,0,-0.022161,-0.008522,0.120832,13.691845,-12.656386,214.518829
59,0,-0.022027,-0.008798,0.120670,13.687915,-12.666603,214.529327
60,0,-0.021989,-0.008748,0.120467,13.688284,-12.676245,214.549667
61,0,-0.022084,-0.008625,0.121038,13.686420,-12.676607,214.520370
62,0,-0.022162,-0.008659,0.120552,13.661613,-12.659467,214.517426
63,0,-0.021937,-0.008769,0.120690,13.678450,-12.682801,214.541428
64,0,-0.022196,-0.008762,0.120771,13.705564,-12.630905,214.502594
65,0,-0.022256,-0.008727,0.120414,13.678195,-12.630195,214.500610
66,0,-0.021909,-0.008653,0.120753,13.701478,-12.683412,214.533585
67,0,-0.022347,-0.008685,0.120502,13.694841,-12.621573,214.496292
68,0,-0.021835,-0.008995,0.120671,13.674795,-12.676134,214.540329
69,0,-0.021928,-0.008656,0.120739,13.694548,-12.655872,214.514236
70,0,-0.022104,-0.008619,0.120535,13.681835,-12.633353,214.532425
71,0,-0.021905,-0.008748,0.120784,13.700566,-12.692239,214.523804
72,0,-0.022045,-0.008565,0.120601,13.695585,-12.661214,214.515198
73,0,-0.021987,-0.008681,0.120728,13.673871,-12.660483,214.545609
74,0,-0.022039,-0.008626,0.120597,13.677875,-12.652434,214.525482
75,0,-0.022039,-0.008594,0.120616,13.684401,-12.651887,214.515717
76,0,-0.021932,-0.008717,0.120781,13.695306,-12.684657,214.527908
77,0,-0.022238,-0.008764,0.120629,13.693443,-12.659951,214.510422
78,0,-0.022159,-0.008771,0.120504,13.687843,-12.637746,214.540146
79,0,-0.022029,-0.008562,0.120692,13.690886,-12.641154,214.510422
80,0,-0.022161,-0.008743,0.120635,13.684649,-12.635042,214.516968
81,0,-0.021948,-0.008669,0.120757,13.688051,-12.689056,214.549713
82,0,-0.021958,-0.008624,0.120654,13.689993,-12.666506,214.534149
83,0,-0.021939,-0.008640,0.120739,13.681220,-12.659563,214.541611
84,0,-0.021952,-0.008755,0.120808,13.681551,-12.688764,214.517151
85,0,-0.022298,-0.008651,0.120631,13.681827,-12.627373,214.519318
86,0,-0.021820,-0.008747,0.120691,13.677518,-12.684990,214.534302
87,0,-0.021883,-0.008726,0.120716,13.699879,-12.676177,214.541580
88,0,-0.022004,-0.008750,0.121019,13.693180,-12.681499,214.533493
89,0,-0.022271,-0.008692,0.120858,13.690302,-12.673680,214.512115
90,0,-0.022616,-0.008485,0.120469,13.673437,-12.567321,214.477921
91,0,-0.022534,-0.008307,0.121311,13.677361,-12.649446,214.552841
92,0,-0.022251,-0.008722,0.120775,13.671741,-12.653701,214.532547
93,0,-0.022273,-0.008655,0.120548,13.680326,-12.655222,214.483948
94,0,-0.022439,-0.008376,0.121105,13.699202,-12.662907,214.582169
95,0,-0.022324,-0.008677,0.120662,13.660213,-12.610860,214.511169
96,0,-0.021971,-0.008622,0.120892,13.691068,-12.692424,214.506760
97,0,-0.022153,-0.008524,0.121039,13.688221,-12.657383,214.554169
98,0,-0.021965,-0.008662,0.120670,13.699887,-12.674774,214.543045
99,0,-0.022403,-0.008717,0.120479,13.646160,-12.624910,214.470795
100,0,-0.022206,-0.008709,0.120680,13.687385,-12.636433,214.520966
101,0,-0.022271,-0.009077,0.120606,13.684766,-12.683493,214.556244
102,0,-0.022198,-0.008780,0.120595,13.655435,-12.696731,214.478409
103,0,-0.021905,-0.008745,0.120656,13.695107,-12.687908,214.519348
104,0,-0.022045,-0.008928,0.120628,13.665967,-12.653958,214.522751
105,0,-0.022317,-0.008788,0.120421,13.681703,-12.643915,214.535507
106,0,-0.021887,-0.008810,0.120890,13.681915,-12.701225,214.495682
107,0,-0.022327,-0.008565,0.120561,13.673071,-12.615465,214.532578
108,0,-0.022181,-0.008856,0.120774,13.679435,-12.669275,214.499115
109,0,-0.022216,-0.008813,0.120750,13.665547,-12.667409,214.471542
110,0,-0.021944,-0.008782,0.120517,13.687380,-12.668640,214.532516
111,0,-0.022014,-0.008773,0.120536,13.695875,-12.643074,214.519775
112,0,-0.022043,-0.008729,0.120688,13.672279,-12.662787,214.506561
113,0,-0.021909,-0.008585,0.120840,13.688321,-12.672036,214.527863
114,0,-0.021973,-0.008613,0.120746,13.688276,-12.661251,214.526230
115,0,-0.021945,-0.008937,0.120599,13.672853,-12.655596,214.533478
116,0,-0.021960,-0.008789,0.120606,13.685523,-12.662875,214.514374
117,0,-0.022147,-0.008779,0.120480,13.664172,-12.641734,214.524506
118,0,-0.021843,-0.008916,0.120582,13.687955,-12.681129,214.556152
119,0,-0.022051,-0.008722,0.120650,13.700961,-12.662501,214.498840
120,0,-0.022151,-0.008593,0.120815,13.670558,-12.659179,214.515945
121,0,-0.021989,-0.008718,0.120612,13.686380,-12.632298,214.522491
122,0,-0.021920,-0.008538,0.120889,13.685991,-12.658712,214.524078
123,0,-0.021912,-0.008669,0.120666,13.681023,-12.680332,214.535522
124,0,-0.022011,-0.008716,0.120563,13.683922,-12.630230,214.519958
125,0,-0.021793,-0.008678,0.120749,13.683540,-12.681388,214.521667
126,0,-0.021933,-0.008803,0.120756,13.666673,-12.662447,214.532791
127,0,-0.022073,-0.008648,0.120693,13.677389,-12.629460,214.541321
128,0,-0.022070,-0.008955,0.120474,13.680532,-12.644606,214.513763
129,0,-0.021946,-0.008522,0.120944,13.688430,-12.660486,214.522507
130,0,-0.022136,-0.008785,0.120695,13.680114,-12.638852,214.516342
131,0,-0.021852,-0.008752,0.120589,13.682644,-12.655437,214.525177
132,0,-0.021919,-0.008604,0.120777,13.689835,-12.664489,214.530151
133,0,-0.022140,-0.008828,0.120613,13.668517,-12.638371,214.515686
134,0,-0.021997,-0.008676,0.120714,13.689858,-12.664145,214.521698
135,0,-0.022148,-0.008700,0.120568,13.687827,-12.642165,214.509888
136,0,-0.021887,-0.008789,0.120769,13.682494,-12.675012,214.515854
137,0,-0.022005,-0.008681,0.120683,13.682787,-12.669156,214.544907
138,0,-0.021955,-0.008713,0.120600,13.676911,-12.666030,214.526215
139,0,-0.021889,-0.008661,0.120713,13.692696,-12.663504,214.529495
140,0,-0.021940,-0.008442,0.120857,13.697184,-12.666706,214.541306
141,0,-0.021954,-0.008669,0.120611,13.688312,-12.662232,214.520737
142,0,-0.021865,-0.008695,0.120853,13.677506,-12.670454,214.521164
143,0,-0.022077,-0.008666,0.120738,13.689021,-12.648131,214.519318
