Objects
50
,,Global Angle wwww_3:wwww_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.002049,-0.000489,-0.002258,80.394310,106.423706,193.106339
2,0,0.002242,-0.000548,-0.001745,80.362122,106.375473,193.136856
3,0,0.002303,-0.000822,-0.002125,80.371933,106.300583,193.128632
4,0,0.002368,-0.000646,-0.002991,80.409889,106.341576,193.164673
5,0,0.002111,-0.000465,-0.002389,80.414024,106.376083,193.137482
6,0,0.002283,-0.000385,-0.001962,80.411293,106.339432,193.141022
7,0,0.002141,-0.000424,-0.002341,80.392769,106.292419,193.133896
8,0,0.001909,-0.000444,-0.002633,80.384239,106.314354,193.136230
9,0,0.001751,-0.000355,-0.002315,80.371254,106.326714,193.132538
10,0,0.001885,-0.000393,-0.001892,80.366333,106.286057,193.145523
11,0,0.001877,-0.000476,-0.002547,80.389236,106.282715,193.143799
12,0,0.001788,-0.000468,-0.002656,80.393623,106.301750,193.156631
13,0,0.001787,-0.000294,-0.002342,80.384689,106.290329,193.156113
14,0,0.001774,-0.000506,-0.002256,80.394051,106.259331,193.150055
15,0,0.001839,-0.000631,-0.002663,80.381866,106.268021,193.156448
16,0,0.001625,-0.000618,-0.002671,80.370766,106.297630,193.160919
17,0,0.001706,-0.000536,-0.002386,80.382195,106.275635,193.161728
18,0,0.001846,-0.000544,-0.002440,80.384193,106.263115,193.168610
19,0,0.001850,-0.000548,-0.002653,80.398590,106.267044,193.175705
20,0,0.001865,-0.000493,-0.002465,80.388092,106.295464,193.162079
21,0,0.001839,-0.000583,-0.002369,80.385872,106.285782,193.169891
22,0,0.001850,-0.000765,-0.002482,80.383179,106.278458,193.175217
23,0,0.002068,-0.000499,-0.002627,80.383179,106.306053,193.201508
24,0,0.002264,-0.000077,-0.002653,80.393242,106.319702,193.260498
25,0,0.003019,0.000728,-0.002434,80.405396,106.297836,193.375885
26,0,0.002211,-0.000395,-0.002737,80.405571,106.306641,193.218948
27,0,0.002123,-0.000555,-0.002801,80.411148,106.310654,193.210464
28,0,0.002215,-0.000471,-0.002693,80.392998,106.315804,193.231705
29,0,0.002249,-0.000602,-0.002748,80.403664,106.309731,193.225189
30,0,0.002227,-0.000532,-0.002769,80.406548,106.308411,193.224197
31,0,0.002178,-0.000541,-0.002824,80.405159,106.317131,193.228836
32,0,0.002190,-0.000490,-0.002765,80.409081,106.297455,193.238983
33,0,0.002288,-0.000634,-0.002767,80.405441,106.307190,193.221115
34,0,0.002434,-0.000065,-0.002270,80.403046,106.423508,193.193756
35,0,0.002495,-0.000065,-0.002592,80.362022,106.483345,193.423141
36,0,0.003493,-0.000398,-0.001993,80.327972,106.601357,194.048691
37,0,0.007400,-0.000557,-0.004835,79.893829,106.196930,195.156372
38,0,0.019680,-0.011773,-0.005377,79.230110,105.690880,196.856232
39,0,0.048474,-0.032314,-0.005105,77.873207,104.176628,201.051392
40,0,0.086871,-0.057249,-0.000802,75.565933,102.092972,207.429871
41,0,0.133005,-0.086643,0.006911,72.176521,99.010384,216.189850
42,0,0.164613,-0.109117,0.012228,67.750175,94.105431,226.879471
43,0,0.179224,-0.119335,0.026656,63.251816,89.049965,238.571991
44,0,0.170713,-0.115243,0.034583,57.674347,82.823845,251.320419
45,0,0.143293,-0.097176,0.040589,51.316105,75.656448,265.195038
46,0,0.106448,-0.076192,0.047610,44.319695,67.928368,280.517395
47,0,0.059369,-0.049998,0.055361,36.921326,59.529865,297.035126
48,0,0.015817,-0.020890,0.063228,29.064470,51.017124,314.345581
49,0,-0.034621,0.009084,0.067074,20.803059,42.236813,333.076996
50,0,-0.078372,0.036534,0.074645,12.755449,33.671864,352.983582
51,0,-0.114547,0.055379,0.084040,4.821830,25.660261,373.645874
52,0,-0.141965,0.065632,0.091254,-3.137456,18.588268,395.569641
53,0,-0.152421,0.071719,0.097724,-10.757466,11.831391,418.399963
54,0,-0.151023,0.076658,0.105676,-18.140238,5.953149,441.949036
55,0,-0.147952,0.082611,0.114066,-25.291264,0.934887,466.279541
56,0,-0.148344,0.090961,0.123172,-32.159191,-3.424395,491.413269
57,0,-0.152010,0.093674,0.131203,-38.562870,-6.958807,517.397217
58,0,-0.146270,0.083396,0.141021,-44.740845,-9.648413,543.911499
59,0,-0.115324,0.055459,0.150695,-50.646416,-11.537483,571.361328
60,0,-0.060825,0.017597,0.161936,-56.437275,-12.822581,599.291199
61,0,0.005207,-0.022123,0.174338,-62.206879,-13.862479,627.811157
62,0,0.066782,-0.044285,0.183490,-68.149727,-15.278537,656.879883
63,0,0.104252,-0.048711,0.192779,-74.102509,-17.276608,685.850342
64,0,0.113118,-0.031954,0.204476,-80.578850,-19.539846,715.649719
65,0,0.096039,-0.006177,0.215071,-87.243103,-22.031073,745.228455
66,0,0.068371,0.026434,0.225517,-93.897240,-24.913340,775.307678
67,0,0.055442,0.052862,0.239663,-100.458473,-28.647665,805.676636
68,0,0.063657,0.068877,0.250610,-107.034515,-31.965845,836.274841
69,0,0.092783,0.076169,0.263326,-113.566071,-35.987522,866.951355
70,0,0.126257,0.079065,0.273953,-119.531830,-39.190983,897.311523
71,0,0.135688,0.086628,0.284203,-125.246017,-43.979713,928.268188
72,0,0.117864,0.102733,0.294760,-130.521255,-49.195480,958.988220
73,0,0.090999,0.125261,0.306199,-135.479416,-54.602303,990.135193
74,0,0.053275,0.154288,0.318530,-140.102173,-60.144596,1020.553589
75,0,0.020285,0.178431,0.329519,-144.125641,-65.877640,1050.798828
76,0,0.003597,0.187877,0.338535,-147.648834,-71.282562,1080.635864
77,0,-0.010761,0.184723,0.344705,-150.475098,-76.850357,1110.198242
78,0,-0.022743,0.174806,0.349218,-152.779816,-82.101074,1139.024292
79,0,-0.032571,0.166253,0.355484,-154.652252,-87.055008,1167.334961
80,0,-0.038540,0.161970,0.359893,-156.069885,-91.629265,1194.765137
81,0,-0.041429,0.161329,0.361904,-157.067917,-96.193031,1221.363647
82,0,-0.036469,0.155378,0.363185,-157.659973,-100.511108,1247.151978
83,0,-0.026118,0.141213,0.364317,-157.825790,-104.610649,1272.235718
84,0,-0.009770,0.119890,0.364860,-157.643295,-108.563194,1296.530884
85,0,0.010077,0.096493,0.365086,-157.188431,-112.434174,1320.003662
86,0,0.028392,0.075630,0.364806,-156.554855,-116.242867,1342.745483
87,0,0.043851,0.060046,0.364685,-155.698715,-119.942444,1364.415405
88,0,0.055937,0.051908,0.364398,-154.754181,-123.663239,1385.044800
89,0,0.070853,0.049028,0.363916,-153.888855,-128.037292,1404.667358
90,0,0.083351,0.053040,0.363749,-152.826660,-132.058624,1423.286499
91,0,0.096279,0.059418,0.363308,-151.621475,-136.296249,1440.689087
92,0,0.101314,0.068023,0.362635,-150.247208,-140.762512,1457.126099
93,0,0.092393,0.079442,0.362544,-148.679718,-145.380341,1472.487061
94,0,0.070371,0.093941,0.361579,-146.852905,-150.354889,1486.835693
95,0,0.041827,0.110819,0.361480,-144.904495,-155.399185,1500.104614
96,0,0.013537,0.127034,0.361241,-142.686127,-160.455811,1512.148560
97,0,-0.009514,0.139276,0.360899,-140.151978,-165.406769,1522.923706
98,0,-0.027622,0.146011,0.361750,-137.325989,-170.168594,1532.622437
99,0,-0.040452,0.145339,0.360838,-134.088974,-174.871231,1541.056274
100,0,-0.045966,0.139712,0.360465,-130.589340,-179.353149,1548.455078
101,0,-0.047737,0.131591,0.359406,-126.771629,-183.641602,1554.614990
102,0,-0.052273,0.124678,0.356940,-122.697006,-187.631454,1559.677734
103,0,-0.055356,0.119188,0.357071,-118.596054,-190.620102,1563.830933
104,0,-0.064150,0.109458,0.355419,-114.066383,-194.109833,1566.653320
105,0,-0.064735,0.090261,0.351284,-109.267052,-197.302994,1568.525146
106,0,-0.055371,0.066766,0.344783,-104.388351,-200.452179,1569.420532
107,0,-0.037041,0.040140,0.336532,-99.436424,-203.435471,1569.250000
108,0,-0.012817,0.011176,0.328756,-94.299049,-205.839279,1567.838867
109,0,0.003173,-0.007941,0.323800,-89.196091,-208.424652,1565.427002
110,0,0.019589,-0.024376,0.316364,-84.400787,-210.934586,1562.060059
111,0,0.035861,-0.034454,0.308622,-79.705200,-213.497345,1557.579224
112,0,0.049585,-0.040492,0.300256,-75.165550,-216.009567,1552.048340
113,0,0.055018,-0.047710,0.292126,-70.847160,-218.787262,1545.564941
114,0,0.053851,-0.058666,0.283396,-66.708603,-221.653641,1537.909058
115,0,0.048150,-0.069764,0.275578,-62.766312,-224.815216,1529.421265
116,0,0.046407,-0.078752,0.268273,-59.145782,-227.975174,1519.858765
117,0,0.041134,-0.071512,0.263655,-55.865570,-231.304733,1509.243774
118,0,0.027234,-0.043297,0.260793,-52.789467,-234.749374,1497.728271
119,0,0.002271,0.000714,0.259796,-50.011993,-238.234756,1485.500732
120,0,-0.026623,0.051069,0.260782,-47.139702,-241.469238,1472.014771
121,0,-0.059320,0.099832,0.264242,-44.218983,-244.608017,1457.994263
122,0,-0.081575,0.138946,0.263705,-41.065098,-247.830124,1442.839355
123,0,-0.097519,0.164532,0.263731,-37.737343,-250.547195,1426.733887
124,0,-0.108838,0.177330,0.263692,-34.025497,-252.784943,1409.852417
125,0,-0.118661,0.181251,0.263796,-29.910559,-254.587479,1392.229736
126,0,-0.127887,0.182439,0.263303,-25.283335,-255.994705,1373.700928
127,0,-0.131425,0.183569,0.262810,-20.306152,-256.914124,1354.271729
128,0,-0.126591,0.179259,0.262365,-14.885666,-257.289185,1334.178467
129,0,-0.114533,0.164466,0.261491,-9.086111,-257.166382,1313.317871
130,0,-0.095953,0.143060,0.262449,-2.854324,-256.560333,1291.958008
131,0,-0.075010,0.119212,0.261392,3.627831,-255.700912,1269.901245
132,0,-0.057316,0.100126,0.259663,10.373311,-254.576477,1247.139648
133,0,-0.042663,0.083076,0.257037,17.348249,-253.249054,1223.865723
134,0,-0.031552,0.062907,0.255543,24.525219,-251.761826,1199.957642
135,0,-0.017866,0.040948,0.254841,31.883411,-249.987610,1175.466431
136,0,-0.002637,0.021204,0.252257,39.105240,-248.426392,1150.983276
137,0,0.015462,-0.002659,0.250120,46.194450,-247.150833,1125.806641
138,0,0.025843,-0.027588,0.245212,53.317257,-245.717606,1100.513428
139,0,0.029504,-0.060304,0.243133,60.526043,-244.147537,1074.897705
140,0,0.011176,-0.085484,0.236558,67.043411,-243.021515,1049.351318
141,0,-0.021931,-0.098966,0.232593,73.305130,-241.949280,1023.805725
142,0,-0.056847,-0.099782,0.225411,78.901268,-241.175018,998.349731
143,0,-0.089298,-0.091286,0.223092,84.163582,-239.773697,972.480530
144,0,-0.111956,-0.076426,0.222483,88.963264,-238.196289,946.881653
145,0,-0.131190,-0.051997,0.223615,93.993736,-235.487000,920.478638
146,0,-0.145723,-0.030631,0.222390,98.023415,-232.978363,894.728943
147,0,-0.157000,-0.016027,0.219352,101.376122,-230.148483,869.313782
148,0,-0.168230,-0.006183,0.219020,104.803925,-226.411819,844.185974
149,0,-0.177530,-0.005766,0.220492,107.981407,-222.114838,819.232666
150,0,-0.182549,-0.005992,0.222159,110.964363,-216.976074,794.192688
151,0,-0.177471,-0.003537,0.223498,113.722084,-210.844742,769.180542
152,0,-0.163731,0.003276,0.225517,116.180000,-204.065643,744.489624
153,0,-0.142531,0.012583,0.228109,118.608055,-196.675949,720.182739
154,0,-0.122850,0.022511,0.229479,120.775223,-188.826508,696.035889
155,0,-0.106639,0.032080,0.230371,122.907806,-180.507401,672.304993
156,0,-0.095014,0.034700,0.232010,125.053253,-171.744217,648.854919
157,0,-0.080834,0.026768,0.233253,127.204582,-162.613495,626.114380
158,0,-0.060236,0.007403,0.234811,129.206924,-153.150040,604.535950
159,0,-0.034093,-0.017440,0.236292,131.190979,-143.457840,583.384583
160,0,-0.002792,-0.038731,0.238917,132.972855,-133.678268,563.299255
161,0,0.021000,-0.054063,0.240774,134.433548,-124.106194,543.863159
162,0,0.040662,-0.064595,0.242459,135.503601,-115.001930,525.783936
163,0,0.054282,-0.073790,0.244463,136.188675,-105.928757,508.556976
164,0,0.067371,-0.083986,0.245321,136.335083,-97.427788,492.781525
165,0,0.081390,-0.097977,0.246680,136.226044,-89.366867,477.660492
166,0,0.097038,-0.113242,0.248434,135.350052,-81.773087,464.062622
167,0,0.105765,-0.120845,0.249162,133.876968,-75.071014,451.484528
168,0,0.095150,-0.116983,0.248600,131.884445,-68.693748,439.052277
169,0,0.064289,-0.100851,0.248072,129.178452,-63.150898,428.211395
170,0,0.020097,-0.081552,0.247564,126.031235,-57.959675,418.367035
171,0,-0.023285,-0.065014,0.247302,122.348976,-53.041237,409.586121
172,0,-0.054161,-0.056549,0.246776,118.265663,-47.851295,401.338623
173,0,-0.068878,-0.053089,0.245267,113.680618,-42.710289,394.176483
174,0,-0.079321,-0.048474,0.244603,108.753265,-37.144951,387.873932
175,0,-0.090789,-0.039113,0.244377,103.529770,-31.341642,382.618225
176,0,-0.108350,-0.023049,0.246336,98.104362,-25.063402,378.071930
177,0,-0.124095,-0.005397,0.245591,92.335144,-18.428406,374.385590
178,0,-0.132329,0.011446,0.244113,86.330376,-11.281131,371.782410
179,0,-0.123352,0.022160,0.241773,80.010941,-3.681097,370.040985
180,0,-0.098694,0.022686,0.240527,73.689087,4.661781,369.611389
181,0,-0.057000,0.011907,0.241589,67.419090,13.398096,370.492462
182,0,-0.006652,0.001354,0.244249,61.072041,22.392820,372.472107
183,0,0.047758,0.000504,0.247656,54.614330,31.242313,375.481873
184,0,0.097181,0.012169,0.250614,48.056774,39.695160,379.346405
185,0,0.135364,0.033153,0.252836,41.609596,47.452988,384.397339
186,0,0.162857,0.048432,0.254965,35.303028,54.598759,389.780457
187,0,0.182562,0.055660,0.258259,29.474373,61.247314,396.010101
188,0,0.196991,0.050241,0.259160,23.756649,66.423767,403.695404
189,0,0.211221,0.038783,0.258163,18.303535,70.695992,412.521606
190,0,0.227063,0.027873,0.257515,13.112590,74.058876,421.202789
191,0,0.227762,0.019528,0.255212,8.056606,76.080635,431.216888
192,0,0.202334,0.014421,0.253113,3.266907,77.017693,441.720001
193,0,0.173828,0.018484,0.257273,-1.575119,76.466576,454.478271
194,0,0.124732,0.027896,0.257012,-6.214369,75.684128,466.612610
195,0,0.075375,0.038965,0.256843,-10.664598,74.288368,479.083038
196,0,0.043762,0.050529,0.260220,-15.104393,72.809700,492.588409
197,0,0.021507,0.059760,0.265907,-19.399624,71.315834,506.895721
198,0,-0.000505,0.065186,0.267823,-23.436911,69.787041,521.355225
199,0,-0.016508,0.068120,0.268249,-27.394157,68.163811,536.206970
200,0,-0.030964,0.071938,0.267216,-31.202660,66.680710,551.841980
201,0,-0.045166,0.076726,0.266929,-34.795574,65.592987,567.774536
202,0,-0.050439,0.080134,0.267904,-38.316433,64.763527,584.396912
203,0,-0.044491,0.074980,0.266245,-41.493969,64.305405,601.336792
204,0,-0.027718,0.064125,0.264329,-44.471020,64.126320,618.622009
205,0,-0.005598,0.050644,0.264316,-47.310188,64.454544,636.236084
206,0,0.016059,0.038190,0.264102,-50.070084,64.698242,654.393860
207,0,0.032507,0.022555,0.262177,-52.640919,64.964775,672.736267
208,0,0.043591,0.008037,0.265502,-55.362568,65.395531,691.478760
209,0,0.051852,-0.016133,0.262439,-57.884933,65.731560,710.522400
210,0,0.057951,-0.037986,0.261738,-60.607666,65.981239,729.592651
211,0,0.064864,-0.055422,0.261930,-63.515827,66.087250,748.599670
212,0,0.075489,-0.064662,0.261235,-66.707314,65.936905,767.742615
213,0,0.082117,-0.058856,0.262902,-70.270012,65.563843,786.902283
214,0,0.079466,-0.041332,0.261005,-73.899300,64.955406,805.805786
215,0,0.065025,-0.014241,0.261126,-77.822624,64.095634,824.744751
216,0,0.041657,0.014491,0.263519,-81.782028,63.190624,843.529663
217,0,0.019388,0.034064,0.264888,-85.737015,62.196537,862.382080
218,0,0.007052,0.040142,0.263430,-89.559845,61.189716,881.026062
219,0,0.003236,0.042178,0.263041,-93.370277,60.313927,899.654114
220,0,0.004156,0.040968,0.263523,-97.140312,59.637791,917.940857
221,0,0.005567,0.038899,0.266827,-100.845871,59.184761,936.045288
222,0,0.005133,0.037678,0.267212,-104.306252,58.732033,953.696838
223,0,0.003586,0.041496,0.266630,-107.751289,58.273373,971.029175
224,0,0.001425,0.051198,0.267509,-111.120384,57.952469,987.998962
225,0,0.001497,0.059595,0.268342,-114.383087,57.811295,1004.502991
226,0,0.004511,0.060148,0.267366,-117.493408,57.789188,1020.726685
227,0,0.011306,0.054240,0.265884,-120.408600,57.920971,1036.594482
228,0,0.019098,0.047889,0.266748,-123.252487,57.932278,1051.984497
229,0,0.027804,0.048601,0.274990,-125.720825,58.190128,1066.791016
230,0,0.036948,0.045848,0.275150,-128.442154,58.340412,1081.435669
231,0,0.040603,0.043973,0.273642,-131.013916,58.587547,1095.567871
232,0,0.040340,0.044594,0.273020,-133.537888,58.672699,1109.193726
233,0,0.037630,0.046725,0.273609,-135.959518,58.719685,1122.310059
234,0,0.037953,0.048335,0.274137,-138.274719,58.764690,1134.722412
235,0,0.040786,0.049171,0.273786,-140.594772,58.779961,1146.811768
236,0,0.044860,0.047200,0.271940,-142.741806,58.812500,1158.316650
237,0,0.045234,0.044848,0.272098,-144.825775,58.735806,1169.596436
238,0,0.042786,0.041889,0.271795,-146.741959,58.664673,1179.863037
239,0,0.037308,0.040470,0.270853,-148.716568,58.415249,1190.042847
240,0,0.032662,0.040873,0.270744,-150.594650,58.364792,1199.286011
241,0,0.026675,0.043695,0.271340,-152.408249,58.243820,1207.844971
242,0,0.021068,0.049465,0.271138,-154.211853,58.042599,1215.763672
243,0,0.015505,0.057534,0.269678,-155.780701,57.800724,1222.900269
244,0,0.018085,0.070015,0.269042,-157.481766,57.885067,1229.233643
245,0,0.021233,0.080868,0.266326,-159.149506,57.791641,1235.125732
246,0,0.020998,0.089933,0.264111,-160.422333,57.873943,1240.112305
247,0,0.006490,0.093839,0.260208,-161.343613,57.172409,1244.561157
248,0,0.002957,0.091615,0.259909,-162.195053,57.307934,1248.421753
249,0,0.002703,0.086006,0.259908,-162.875778,57.484417,1251.641724
250,0,0.004379,0.077167,0.258099,-163.318268,57.753422,1254.039917
251,0,0.005824,0.067379,0.257261,-163.599823,58.155037,1255.884399
252,0,0.007199,0.061839,0.256817,-163.737549,58.549229,1256.968506
253,0,0.010516,0.062059,0.254659,-163.762726,58.996540,1257.311768
254,0,0.015178,0.066757,0.251762,-163.691147,59.362576,1256.924561
255,0,0.018757,0.072576,0.248806,-163.494522,59.801159,1255.789673
256,0,0.019361,0.078168,0.247528,-163.070404,60.217548,1254.161865
257,0,0.018795,0.079282,0.244580,-162.560944,60.744125,1251.788940
258,0,0.018160,0.077629,0.243071,-161.808838,61.191792,1248.885254
259,0,0.020703,0.076412,0.241011,-160.914719,61.681179,1245.236816
260,0,0.023926,0.076493,0.238779,-159.872375,62.142986,1240.959106
261,0,0.024020,0.077292,0.237422,-158.645248,62.660702,1236.221313
262,0,0.020897,0.079126,0.237319,-157.228607,63.222118,1230.792847
263,0,0.016615,0.077608,0.234733,-155.561874,63.495548,1224.836670
264,0,0.013454,0.076897,0.233372,-153.743088,63.871868,1218.348145
265,0,0.012313,0.074483,0.232213,-151.811020,64.358780,1211.572144
266,0,0.010020,0.071851,0.231255,-149.619659,64.777588,1204.043579
267,0,0.008150,0.067146,0.229810,-147.210175,65.280510,1196.035889
268,0,0.008389,0.060075,0.228802,-144.721756,65.701469,1187.840332
269,0,0.012183,0.051536,0.226891,-142.156830,66.169838,1179.128784
270,0,0.014650,0.046350,0.225783,-139.439774,66.394714,1169.985596
271,0,0.018184,0.043736,0.224319,-136.691040,66.908691,1160.594482
272,0,0.020387,0.041868,0.223335,-133.836899,67.292923,1150.717407
273,0,0.022688,0.042718,0.221539,-130.954605,67.551483,1140.473389
274,0,0.026668,0.042015,0.219955,-127.977043,67.848534,1129.881104
275,0,0.027066,0.042364,0.218818,-125.042587,68.108643,1118.856201
276,0,0.025590,0.038097,0.218371,-121.822014,68.274117,1107.626343
277,0,0.022640,0.036347,0.217924,-118.669365,68.415642,1096.161499
