Objects
50
,,Global Angle Drone_2:Drone_2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.000602,0.000572,0.002345,76.093834,65.569984,203.714600
2,0,0.000661,0.000723,0.002269,76.100601,65.571671,203.705582
3,0,0.000511,0.000546,0.002312,76.090271,65.564926,203.720871
4,0,0.000591,0.000501,0.002227,76.095894,65.570839,203.712021
5,0,0.000574,0.000660,0.002384,76.091270,65.575195,203.712799
6,0,0.000678,0.000650,0.002276,76.091263,65.569839,203.708878
7,0,0.000575,0.000701,0.002304,76.086197,65.576538,203.719604
8,0,0.000556,0.000674,0.002265,76.087387,65.572548,203.721115
9,0,0.000686,0.000673,0.002266,76.097572,65.573616,203.714478
10,0,0.000632,0.000471,0.002319,76.093582,65.571251,203.709030
11,0,0.000546,0.000614,0.002299,76.097214,65.573120,203.720032
12,0,0.000624,0.000680,0.002202,76.097008,65.566498,203.721527
13,0,0.000483,0.000634,0.002300,76.106354,65.563316,203.716309
14,0,0.000620,0.000576,0.002256,76.090111,65.577888,203.716171
15,0,0.000626,0.000690,0.002235,76.091675,65.571625,203.724335
16,0,0.000564,0.000751,0.002297,76.101700,65.577950,203.716492
17,0,0.000691,0.000605,0.002274,76.086182,65.575569,203.711838
18,0,0.000593,0.000597,0.002173,76.100555,65.575455,203.715286
19,0,0.000631,0.000549,0.002300,76.091896,65.573227,203.719360
20,0,0.000685,0.000612,0.002292,76.092735,65.571274,203.707413
21,0,0.000643,0.000714,0.002297,76.089897,65.576004,203.709244
22,0,0.000593,0.000644,0.002364,76.094620,65.579567,203.712418
23,0,0.000625,0.000610,0.002313,76.100258,65.582489,203.709702
24,0,0.000673,0.000686,0.002316,76.099014,65.572014,203.710739
25,0,0.000676,0.000716,0.002237,76.084343,65.573769,203.702988
26,0,0.000593,0.000701,0.002300,76.093353,65.582397,203.726746
27,0,0.000709,0.000644,0.002329,76.089752,65.570053,203.710312
28,0,0.000715,0.000751,0.002301,76.090973,65.571602,203.716660
29,0,0.000532,0.000663,0.002340,76.103065,65.568848,203.714005
30,0,0.000603,0.000722,0.002369,76.095093,65.573326,203.715805
31,0,0.000654,0.000694,0.002356,76.105148,65.570549,203.709244
32,0,0.000572,0.000720,0.002350,76.087318,65.572220,203.716110
33,0,0.000477,0.000589,0.002408,76.090431,65.574036,203.727844
34,0,0.000554,0.000620,0.002362,76.088676,65.569939,203.713806
35,0,0.000683,0.000651,0.002212,76.094856,65.572693,203.714981
36,0,0.000602,0.000743,0.002285,76.086746,65.578133,203.713242
37,0,0.000559,0.000618,0.002340,76.084579,65.575623,203.730698
38,0,0.000619,0.000779,0.002258,76.092949,65.571320,203.718796
39,0,0.000643,0.000556,0.002143,76.096268,65.568092,203.710297
40,0,0.000573,0.000536,0.002334,76.100830,65.577759,203.714233
41,0,0.000552,0.000650,0.002328,76.095795,65.574158,203.723953
42,0,0.000639,0.000652,0.002278,76.095428,65.572090,203.714371
43,0,0.000590,0.000646,0.002297,76.092743,65.572342,203.718979
44,0,0.000641,0.000692,0.002356,76.089684,65.568810,203.721237
45,0,0.000549,0.000653,0.002355,76.095772,65.571915,203.722717
46,0,0.000523,0.000663,0.002211,76.092880,65.556892,203.722641
47,0,0.000517,0.000562,0.002233,76.091324,65.563042,203.715958
48,0,0.000575,0.000747,0.002404,76.092880,65.570694,203.714783
49,0,0.000612,0.000710,0.002391,76.096405,65.569824,203.710876
50,0,0.000576,0.000510,0.002283,76.098534,65.561119,203.710175
51,0,0.000492,0.000558,0.002266,76.087112,65.563591,203.713470
52,0,0.000480,0.000694,0.002499,76.091110,65.573441,203.723236
53,0,0.000599,0.000591,0.002183,76.083107,65.562065,203.716415
54,0,0.000641,0.000688,0.002151,76.096367,65.562820,203.711761
55,0,0.000573,0.000566,0.002379,76.087395,65.579582,203.720154
56,0,0.000502,0.000634,0.002382,76.097549,65.562256,203.711670
57,0,0.000594,0.000605,0.002065,76.099289,65.569130,203.711700
58,0,0.000546,0.000547,0.002332,76.084007,65.563896,203.718491
59,0,0.000547,0.000596,0.002051,76.087601,65.571663,203.719467
60,0,0.000591,0.000841,0.002795,76.109337,65.569000,203.709579
61,0,0.000724,0.000877,0.002336,76.108994,65.570213,203.711975
62,0,0.000619,0.000755,0.001918,76.113579,65.565529,203.729980
63,0,0.000839,0.001583,0.001703,76.135223,65.611511,203.824921
64,0,0.002697,-0.000096,0.003846,76.132637,65.755676,203.743851
65,0,0.002564,-0.000096,0.003441,76.085289,65.739090,203.755493
66,0,0.002604,-0.000497,0.003045,76.105415,65.750702,203.746201
67,0,0.002521,-0.000225,0.003265,76.111778,65.747566,203.757278
68,0,0.002651,0.000019,0.003600,76.127892,65.763412,203.742813
69,0,0.002470,0.000001,0.003308,76.120140,65.742531,203.756668
70,0,0.002450,-0.000287,0.003067,76.147209,65.729187,203.756653
71,0,0.003285,0.001341,0.002532,76.108673,65.766785,203.859467
72,0,0.002302,0.000034,0.003465,76.101669,65.747086,203.760330
73,0,0.002173,-0.000043,0.003245,76.095512,65.725693,203.749786
74,0,0.001890,0.000112,0.002710,76.096375,65.696877,203.756500
75,0,0.001682,0.000212,0.003028,76.104446,65.673302,203.745850
76,0,0.001536,0.000343,0.002896,76.096626,65.667740,203.738052
77,0,-0.000093,0.000353,0.002599,76.098999,65.593407,203.800613
78,0,0.001078,0.000523,0.002483,76.093620,65.623329,203.736267
79,0,0.000937,0.000678,0.002375,76.079597,65.597488,203.721588
80,0,0.000677,0.000630,0.002527,76.068916,65.595940,203.725937
81,0,0.000671,0.000580,0.002243,76.075775,65.590027,203.726227
82,0,0.000599,0.000772,0.002239,76.085022,65.591553,203.732758
83,0,0.000586,0.000745,0.002301,76.090149,65.580734,203.720535
84,0,0.000477,0.000908,0.002460,76.077271,65.585533,203.719147
85,0,0.000464,0.000688,0.002185,76.081696,65.572983,203.733627
86,0,0.002751,-0.000091,0.002981,76.104591,65.758644,203.761307
87,0,0.000460,0.000725,0.002267,76.070839,65.579041,203.729065
88,0,0.000398,0.000721,0.002330,76.063492,65.579956,203.736084
89,0,0.000505,0.000702,0.002200,76.085518,65.586250,203.740906
90,0,0.000553,0.000806,0.002129,76.075851,65.577362,203.734756
91,0,0.000519,0.000649,0.002380,76.080124,65.579895,203.730713
92,0,0.000445,0.000714,0.002560,76.084381,65.583412,203.728607
93,0,0.000526,0.000578,0.002371,76.095375,65.584740,203.729691
94,0,0.000557,0.000687,0.002266,76.082809,65.577759,203.733429
95,0,0.000646,0.000722,0.002598,76.066872,65.571121,203.757751
96,0,-0.000329,-0.000028,0.001019,76.137527,65.655563,203.648849
97,0,-0.000230,-0.000127,0.000914,76.142021,65.648445,203.649780
98,0,-0.000271,-0.000156,0.000994,76.140419,65.640854,203.641754
99,0,-0.000280,-0.000069,0.000941,76.149246,65.663208,203.656189
100,0,-0.000348,-0.000086,0.001001,76.138580,65.631310,203.630341
101,0,-0.000238,-0.000124,0.000717,76.145187,65.643936,203.658768
102,0,-0.000326,-0.000125,0.000985,76.131271,65.648811,203.641479
103,0,-0.000308,0.000163,0.001115,76.139099,65.654236,203.660339
104,0,-0.000195,0.000069,0.001021,76.119209,65.641281,203.652313
105,0,-0.000509,0.000180,0.001125,76.116661,65.622765,203.675095
106,0,-0.000283,0.000156,0.001317,76.116638,65.625732,203.669830
107,0,0.001373,0.000601,0.001759,76.100288,65.735283,203.697144
108,0,-0.000023,-0.000011,0.001878,76.138794,65.609024,203.705566
109,0,0.000047,0.000522,0.001770,76.106628,65.601707,203.710953
110,0,0.000266,0.000331,0.001676,76.088699,65.603806,203.764435
111,0,-0.000130,-0.000472,0.002278,76.118172,65.659599,203.947372
112,0,-0.000904,-0.000203,0.002332,75.932816,65.743713,204.520981
113,0,0.002143,-0.002402,0.002305,75.644753,65.871613,205.636719
114,0,0.010246,-0.014696,0.000903,74.880257,65.689781,207.747665
115,0,0.034174,-0.040993,-0.002729,73.358559,65.188461,211.381714
116,0,0.063546,-0.074460,-0.003830,70.860069,63.945568,217.264023
117,0,0.092062,-0.106390,-0.004246,67.145248,61.852631,225.130157
118,0,0.123275,-0.136056,-0.003032,63.037716,59.028660,233.758408
119,0,0.145029,-0.147095,-0.002620,57.776501,55.947151,244.163818
120,0,0.147956,-0.138319,-0.003053,51.769012,52.155106,255.474594
121,0,0.136849,-0.114457,-0.005329,45.074394,47.583584,267.818878
122,0,0.112522,-0.083839,-0.006323,37.712753,42.725163,281.092438
123,0,0.086740,-0.057314,-0.008012,29.882778,37.275356,295.465576
124,0,0.067379,-0.040998,-0.007602,21.435831,31.680029,311.139984
125,0,0.058073,-0.036352,-0.007164,12.628826,25.780281,327.627197
126,0,0.049672,-0.029094,-0.006075,3.608625,19.636402,345.166962
127,0,0.033973,-0.018618,-0.005222,-5.718294,13.409658,363.088989
128,0,0.011125,-0.001132,-0.002798,-15.083685,7.202387,381.923706
129,0,-0.016988,0.021855,-0.003700,-24.631578,1.066362,401.030792
130,0,-0.048285,0.050916,-0.002987,-34.049446,-4.865778,420.723389
131,0,-0.074686,0.077279,-0.001270,-43.358028,-10.344049,440.846741
132,0,-0.089757,0.093080,0.001935,-52.397804,-15.434687,461.485474
133,0,-0.093130,0.098711,0.005388,-61.257233,-20.024570,482.637268
134,0,-0.089710,0.099573,0.009170,-69.809677,-24.240334,504.039764
135,0,-0.085696,0.100743,0.014056,-77.893906,-27.957842,525.939514
136,0,-0.084566,0.105219,0.018318,-85.660492,-31.176601,548.013733
137,0,-0.084633,0.111042,0.022848,-93.080276,-33.908398,570.378235
138,0,-0.079405,0.112198,0.027965,-100.055801,-36.174282,593.004700
139,0,-0.064461,0.105771,0.033232,-106.762688,-37.980850,615.866394
140,0,-0.040416,0.093028,0.038556,-113.102280,-39.437954,638.961609
141,0,-0.012327,0.078540,0.044935,-119.143646,-40.871216,661.873352
142,0,0.012501,0.067041,0.049847,-124.943092,-42.073219,685.079834
143,0,0.027684,0.056859,0.054138,-130.452637,-43.130009,707.585022
144,0,0.038583,0.053828,0.061196,-135.770615,-44.217239,730.039734
145,0,0.047028,0.051083,0.062880,-140.924622,-45.169270,752.660217
146,0,0.053559,0.045439,0.068736,-146.266205,-46.295692,775.018188
147,0,0.061706,0.039424,0.074785,-151.431244,-47.616009,797.065918
148,0,0.071672,0.031706,0.080034,-156.456284,-49.112217,819.293091
149,0,0.083295,0.015620,0.084187,-161.595505,-50.985256,840.929199
150,0,0.091936,-0.002268,0.088489,-166.665955,-52.967705,862.789246
151,0,0.089942,-0.019042,0.091146,-171.809479,-55.207008,884.247559
152,0,0.077944,-0.030300,0.092861,-177.032104,-57.660717,905.235962
153,0,0.059001,-0.032650,0.094506,-182.340866,-60.098412,925.704834
154,0,0.038994,-0.020373,0.095635,-187.745377,-62.657677,945.468933
155,0,0.018299,0.006873,0.096187,-193.227768,-65.435555,964.632446
156,0,-0.001286,0.041889,0.096817,-198.692719,-68.261734,983.087097
157,0,-0.021223,0.076566,0.098869,-204.183441,-70.946770,1000.801331
158,0,-0.038765,0.102320,0.101171,-209.441528,-73.491943,1017.802734
159,0,-0.050522,0.114469,0.104602,-214.599213,-75.676796,1034.667847
160,0,-0.061522,0.110766,0.107755,-219.450760,-77.964088,1051.170654
161,0,-0.065108,0.103045,0.111289,-224.120316,-79.768372,1067.307373
162,0,-0.063009,0.097928,0.115157,-228.532272,-81.252762,1082.408325
163,0,-0.054900,0.098601,0.117086,-232.635239,-82.590851,1097.010742
164,0,-0.049077,0.112409,0.121420,-236.566864,-83.708237,1110.847412
165,0,-0.046729,0.131607,0.123012,-239.968811,-84.503563,1123.993042
166,0,-0.047472,0.153086,0.125963,-243.215637,-84.970963,1136.579346
167,0,-0.044419,0.162501,0.128960,-246.085754,-85.253456,1148.647705
168,0,-0.035888,0.155425,0.131433,-248.483978,-85.281662,1160.315063
169,0,-0.024062,0.139510,0.135508,-250.614883,-85.135384,1171.485840
170,0,-0.010026,0.119470,0.138581,-252.292725,-84.782990,1181.684204
171,0,0.004065,0.104306,0.141552,-253.720490,-84.399979,1191.367554
172,0,0.016583,0.097464,0.145025,-254.850861,-83.924881,1200.209717
173,0,0.028880,0.098675,0.147443,-255.718704,-83.469193,1208.345215
174,0,0.040070,0.106439,0.148571,-256.324738,-82.987076,1215.518921
175,0,0.048010,0.114775,0.148356,-256.607697,-82.508247,1221.675537
176,0,0.047314,0.124520,0.149117,-256.695129,-82.088776,1227.040405
177,0,0.038895,0.133800,0.149088,-256.453125,-81.755829,1231.564819
178,0,0.025150,0.141685,0.149263,-255.918182,-81.470940,1235.364380
179,0,0.010743,0.147255,0.150891,-255.085617,-81.101280,1238.222656
180,0,0.000555,0.148384,0.152038,-253.828918,-80.711586,1239.940674
181,0,-0.004630,0.148641,0.153470,-252.354111,-80.237000,1241.196411
182,0,-0.003940,0.146403,0.153401,-250.348862,-79.756027,1241.358765
183,0,0.000834,0.144762,0.153720,-248.105560,-79.180634,1240.928467
184,0,0.003709,0.140877,0.154713,-245.582184,-78.574791,1239.664185
185,0,0.001599,0.133253,0.154801,-242.639908,-77.925529,1237.561890
186,0,-0.002905,0.121878,0.155492,-239.321930,-77.036697,1234.616821
187,0,-0.007562,0.110422,0.155311,-235.857971,-76.141502,1231.306152
188,0,-0.013531,0.100841,0.155225,-232.035767,-75.126427,1226.888550
189,0,-0.017229,0.094792,0.155998,-228.080261,-74.028488,1221.867798
190,0,-0.015653,0.090155,0.157391,-223.962051,-72.834503,1216.051636
191,0,-0.009053,0.085601,0.156916,-219.538879,-71.581116,1209.447754
192,0,0.000926,0.081247,0.157762,-215.028839,-70.255318,1201.922119
193,0,0.010720,0.076061,0.158124,-210.406067,-68.986153,1193.658447
194,0,0.019903,0.068898,0.155703,-205.461975,-67.475281,1184.942261
195,0,0.026651,0.062235,0.155970,-200.510849,-65.995064,1175.676880
196,0,0.009177,0.006675,0.208604,-193.055420,-64.294716,1175.102417
197,0,0.009713,0.010979,0.207812,-187.902542,-62.876293,1163.783813
198,0,0.008498,0.016352,0.206168,-182.501831,-61.596130,1152.219482
199,0,0.013015,0.021158,0.205757,-177.187195,-60.285152,1140.430786
200,0,0.019363,0.021574,0.204652,-171.764008,-59.077156,1127.840454
201,0,0.026015,0.013566,0.202452,-166.308517,-58.028648,1115.335938
202,0,0.030986,0.006434,0.196628,-160.966171,-57.078903,1101.856689
203,0,0.029625,-0.005132,0.191792,-155.388824,-56.315857,1088.678711
204,0,0.027458,-0.009439,0.182956,-149.996033,-55.644020,1074.123169
205,0,0.023873,-0.014138,0.176938,-144.410706,-55.002605,1059.859985
206,0,0.022084,-0.015738,0.170932,-138.848022,-54.486889,1044.942261
207,0,0.021789,-0.017876,0.167711,-133.120865,-54.003910,1030.044189
208,0,0.035243,0.030610,0.142803,-128.287949,-52.109634,1005.439148
209,0,0.034142,0.024655,0.137879,-122.545486,-51.856560,989.578979
210,0,0.032943,0.018300,0.134747,-116.942986,-51.611721,973.641541
211,0,0.029394,0.011420,0.131523,-111.359344,-51.468445,957.200562
212,0,0.025002,0.004921,0.128162,-105.949242,-51.391148,940.607300
213,0,0.019882,0.001373,0.125288,-100.636894,-51.348984,923.578186
214,0,0.015612,0.000475,0.122872,-95.472404,-51.318569,906.278992
215,0,0.012693,0.000823,0.120342,-90.512939,-51.339413,888.799561
216,0,0.010428,0.001367,0.118080,-85.687263,-51.382820,871.106201
217,0,0.008353,-0.001091,0.114307,-81.005104,-51.461494,853.194092
218,0,0.005612,-0.002895,0.111968,-76.496208,-51.550476,835.003357
219,0,0.003377,-0.004354,0.109722,-72.172089,-51.727318,816.841064
220,0,0.008493,-0.010432,0.099804,-68.020470,-52.835106,799.744629
221,0,0.008756,-0.001157,0.100501,-63.965885,-53.024113,781.610413
222,0,0.010222,0.011519,0.099747,-59.832352,-53.282001,763.413940
223,0,0.013223,0.024301,0.100714,-56.013988,-53.533707,745.924194
224,0,0.016154,0.025855,0.102407,-52.196526,-53.712231,728.953674
225,0,0.018553,0.012132,0.104238,-48.558296,-53.979607,712.601624
226,0,0.020405,-0.012391,0.106714,-45.157024,-54.344727,697.106018
227,0,0.020745,-0.041325,0.108485,-41.984375,-54.742844,681.997803
228,0,0.019370,-0.064427,0.109482,-38.941494,-55.230614,667.031250
229,0,0.018941,-0.068756,0.110012,-36.196140,-55.698311,652.154053
230,0,0.019157,-0.054780,0.110180,-33.641857,-56.173832,637.369751
231,0,0.018663,-0.032260,0.109799,-31.451937,-56.852337,622.635559
232,0,0.017325,-0.008657,0.109566,-29.400906,-57.422955,608.336609
233,0,0.013999,0.008164,0.109482,-27.643597,-57.989281,594.619446
234,0,0.010000,0.012738,0.109876,-26.044485,-58.496925,581.578491
235,0,0.005861,0.008171,0.110342,-24.604712,-58.973522,568.908264
236,0,0.005837,0.002342,0.110238,-23.236858,-59.454456,557.058655
237,0,0.008209,0.000034,0.110303,-22.003622,-59.822437,545.552734
238,0,0.011063,0.004129,0.110776,-20.861963,-60.174702,534.466614
239,0,0.011647,0.013080,0.110911,-19.780832,-60.511040,524.085022
240,0,0.008021,0.023585,0.110208,-18.720734,-60.812855,514.068054
241,0,0.002391,0.031159,0.110140,-17.780188,-60.994640,504.797638
242,0,-0.001300,0.029773,0.111054,-16.819534,-61.130737,496.231171
243,0,-0.000490,0.019603,0.112831,-15.837580,-61.272224,488.589050
244,0,0.003476,0.005075,0.114581,-15.054491,-61.263882,481.515625
245,0,0.009023,-0.006828,0.116210,-14.324508,-61.192997,475.328491
246,0,0.014602,-0.014318,0.118096,-13.735537,-61.140686,469.704926
247,0,0.017975,-0.016875,0.119624,-13.289083,-61.062534,464.526093
248,0,0.017469,-0.017780,0.121015,-12.982520,-60.941559,460.035217
